City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.57,89,24,1.79,NZ,1717914496
1,lazaro cardenas,17.9583,-102.2,26.15,78,71,1.64,MX,1717914440
2,stanley,54.868,-1.6985,10.99,78,20,8.23,GB,1717914499
3,bredasdorp,-34.5322,20.0403,8.62,89,0,1.39,ZA,1717914500
4,nabire,-3.3667,135.4833,29.54,73,64,1.77,ID,1717914501
5,santana,-0.0583,-51.1817,25.1,100,100,2.57,BR,1717914502
6,ushuaia,-54.8,-68.3,-1.19,80,0,3.09,AR,1717914471
7,linxia chengguanzhen,35.6003,103.2064,23.89,33,47,1.84,CN,1717914505
8,port-aux-francais,-49.35,70.2167,6.37,97,100,13.07,TF,1717914506
9,morehead city,34.7229,-76.726,24.45,84,0,1.54,US,1717914510
10,balaipungut,1.05,101.2833,29.06,83,98,1.28,ID,1717914511
11,tete,-16.1564,33.5867,22.05,53,75,3.6,MZ,1717914459
12,dikhil,11.5,42.1667,33.44,30,42,3.3,DJ,1717914514
13,grytviken,-54.2811,-36.5092,-1.08,83,100,6.3,GS,1717914515
14,saucillo,28.0167,-105.2833,25.6,36,97,4.57,MX,1717914516
15,fada,9.5667,8.3,21.17,91,100,1.42,NG,1717914518
16,jashpurnagar,22.9,84.15,39.35,18,70,3.11,IN,1717914519
17,hithadhoo,-0.6,73.0833,28.7,72,47,3.21,MV,1717914520
18,ta`u,-14.2336,-169.5144,26.48,70,91,9.33,AS,1717914521
19,benghazi,32.1167,20.0667,24.05,63,0,3.87,LY,1717914446
20,saint-pol-de-leon,48.6833,-3.9833,15.44,71,20,2.68,FR,1717914523
21,iqaluit,63.7506,-68.5145,-0.15,80,100,4.12,CA,1717914525
22,aberdeen,57.1437,-2.0981,10.11,72,75,7.2,GB,1717914526
23,puerto natales,-51.7236,-72.4875,-1.02,92,93,3.23,CL,1717914527
24,antsiranana,-12.2787,49.2917,28.42,44,20,5.14,MG,1717914528
25,bilibino,68.0546,166.4372,13.21,34,1,3.97,RU,1717914529
26,shkoder,42.0683,19.5126,24.1,59,50,0.7,AL,1717914530
27,constantia,44.1833,28.65,27.38,57,28,2.24,RO,1717914348
28,gadzhiyevo,69.2551,33.3362,5.12,79,98,4.67,RU,1717914532
29,semera,11.501,41.201,33.25,30,85,2.99,ET,1717914535
30,east london,-33.0153,27.9116,9.52,93,0,2.06,ZA,1717914366
31,blackmans bay,-43.0167,147.3167,9.29,80,73,2.23,AU,1717914537
32,flin flon,54.7682,-101.865,4.89,96,100,1.95,CA,1717914538
33,ilulissat,69.2167,-51.1,4.01,81,75,0.51,GL,1717914540
34,tromso,69.6496,18.957,11.01,76,0,0.0,NO,1717914541
35,banda aceh,5.5577,95.3222,30.98,66,89,7.1,ID,1717914300
36,wailua homesteads,22.0669,-159.378,27.24,87,20,6.17,US,1717914543
37,talnakh,69.4865,88.3972,1.78,85,54,4.43,RU,1717914545
38,udachny,66.4167,112.4,21.36,33,76,3.85,RU,1717914546
39,college,64.8569,-147.8028,25.18,30,75,2.57,US,1717914547
40,adamstown,-25.066,-130.1015,22.38,78,72,5.57,PN,1717914548
41,kasempa,-13.4584,25.8338,15.89,68,55,5.13,ZM,1717914550
42,invercargill,-46.4,168.35,8.9,92,97,3.9,NZ,1717914551
43,tiksi,71.6872,128.8694,1.67,87,100,4.11,RU,1717914552
44,boyolangu,-8.1181,111.8935,27.35,83,95,4.7,ID,1717914553
45,isafjordur,66.0755,-23.124,4.71,87,79,1.39,IS,1717914554
46,dudinka,69.4058,86.1778,2.01,88,58,1.28,RU,1717914555
47,kenai,60.5544,-151.2583,16.75,46,100,10.8,US,1717914556
48,west island,-12.1568,96.8225,29.99,70,40,6.17,CC,1717914558
49,kargasok,59.0556,80.8572,17.76,46,98,6.71,RU,1717914559
50,port elizabeth,-33.918,25.5701,7.16,93,0,1.54,ZA,1717914312
51,bethel,41.3712,-73.414,18.2,79,20,1.54,US,1717914561
52,port mathurin,-19.6833,63.4167,23.97,80,36,7.99,MU,1717914562
53,jamestown,42.097,-79.2353,14.18,92,100,0.89,US,1717914563
54,uribia,11.7139,-72.266,28.2,76,35,5.66,CO,1717914565
55,conde,-7.2597,-34.9075,23.7,100,75,2.06,BR,1717914566
56,rikaze,29.25,88.8833,22.71,20,0,0.27,CN,1717914567
57,kendallville,41.4414,-85.265,14.55,96,100,2.06,US,1717914568
58,hobyo,5.3505,48.5268,29.13,65,74,10.88,SO,1717914570
59,hawaiian paradise park,19.5933,-154.9731,25.73,74,100,2.06,US,1717914571
60,tabas,33.5959,56.9244,33.78,11,0,1.85,IR,1717914572
